"SEQ_NO","MTI","CARD_NO","PROC_CODE","ORIGINAL_DATE","TRACE_NO","REF_NO","ACQ_ID","ISS_ID","APPROVAL_CODE","RESPONSE_CODE","TERM_ID","ORIGINAL_DATA","REVERSED","TNX_STAMP","PACKAGER","AMOUNT","ACCOUNT_NO","LOCAL_TIME","LOCAL_DATE","SETTLE_DATE","MCC","CURRENCY_CODE","DEST_ACCOUNT","RECONCILE_TIME","TRANX_DATE","ADD_INFO","SERVICE_CODE","VAS_INFO","BEN_ID","IBFT_INFO","AMOUNT_SETTLEMENT","AMOUNT_CARDHOLDER","CURRENCY_CODE_SETTLEMENT","CURRENCY_CODE_CARDHOLDER","CONVERSION_RATE_SETTLEMENT","CONVERSION_RATE_CARDHOLDER","USER_DEFINE","TRANX_REF","ACQ_INST_COUNTRY_CODE","POS_ENTRY_MODE","POS_CONDITION_CODE","CARD_ACCEPT_ID_CODE","CARD_ACCEPT_NAME_LOCATION","SETTLEMENT_CODE","PAYMENT_CODE","INFO_HOLDER_BENECIARY","RECORD_DATA","ADD_RECORD_DATA","REVERSED123","REVERSED124","REVERSED125","MESSAGE_NUMBER","LAST_MESSAGE_NUMBER","INSERT INTO RPT.ISOMESSAGE (SEQ_NO","LAST_MESSAGE_NUMBER) VALUES"
301070445,"0200","0021019688003","912020","0908235541","025471","525120025471","970438","980478",,,"00000001",,N,2025-09-08 23:55:42.000,,1015500,"0021019688003","235541","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGQT","555666",Tool ck daily 69,1015500,,"704",,"00000001",,"04","5251BVBVA22ZHGQT",,"012","05",BAOVIETBANK0001,IBT NAPAS                HANOI       VNM,1,,Nguyen Van Bao Viet,,,,,,,,,
301070189,"0210","1031432003","912020","0908160157","006363","525116006363","970434",,,"91","0199MBIL",,N,2025-09-08 23:01:59.000,,30000000,"1031432003","230157","0908","0909",,"704","90341629111",,2025-09-08 00:00:00.000,"7CUK EK58 ICYR1
HP1G9 4H YPVID7X 60 FC1F6H1SGO E3APCVAZPPZEOJZ",IF_DEP,"5251IBT1dQ2AE8TM","970410","889C985239",30000000,,"704",,"00000001",,"05","5251IBT1dQ2AE8TM",,"000","00",,,1,,,,,,,,,,,
301070223,"0210","1031432001","912020","0908160420","006364","525116006364","970434",,,"91","0199MBIL",,N,2025-09-08 23:04:22.000,,30000000,"1031432001","230420","0908","0909",,"704","90341629111",,2025-09-08 00:00:00.000,"7CUK EK58 ICYR1
HP1G9 4H YPVID7X 60 FC1F6H1SGO E3APCVAZPPZEOJZ",IF_DEP,"5251IBT1dQ2AE8TP","970410","889C985239",30000000,,"704",,"00000001",,"05","5251IBT1dQ2AE8TP",,"000","00",,,1,,,,,,,,,,,
301070231,"0210","0021019688003","912020","0908230533","025461","525120025461","970438","980478",,"68","00000001",,N,2025-09-08 23:05:34.000,,1075800,"0021019688003","230533","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGLK","555666",Tool ck daily 64,1075800,,"704",,"00000001",,"04","5251BVBVA22ZHGLK",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070251,"0210","1031432001","912020","0908161234","006365","525116006365","970434",,,"91","0199MBIL",,N,2025-09-08 23:12:36.000,,30000000,"1031432001","231234","0908","0909",,"704","90341629111",,2025-09-08 00:00:00.000,"7CUK EK58 ICYR1
HP1G9 4H YPVID7X 60 FC1F6H1SGO E3APCVAZPPZEOJZ",IF_DEP,"5251IBT1dQ2AE8TG","970410","889C985239",30000000,,"704",,"00000001",,"05","5251IBT1dQ2AE8TG",,"000","00",,,1,,,,,,,,,,,
301070266,"0210","0021019688003","912020","0908231535","025463","525120025463","970438","980478",,"68","00000001",,N,2025-09-08 23:15:37.000,,1015100,"0021019688003","231535","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGL7","555666",Tool ck daily 65,1015100,,"704",,"00000001",,"04","5251BVBVA22ZHGL7",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070275,"0210",VND1625000210001,"912020","0908161720","003640","240326003640","970422",,"607065","00","97042205",,N,2025-09-08 23:17:23.000,,11232300,VND1625000210001,"231720","0908","0909","7299","704","0129837294",,2025-09-08 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5251IBT1dQ2AE8T3","970406",NGAN HANG DONGA BANK,11232300,,"704",,"00000001",,"05","5251IBT1dQ2AE8T3",,"000","00",,,1,,,,,,,,,,,
301070276,"0210",VND1625000210001,"912020","0908161720","003641","240474003641","970422",,"622570","00","97042205",,N,2025-09-08 23:17:23.000,,16456500,VND1625000210001,"231720","0908","0909","7299","704","0129837294",,2025-09-08 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5251IBT1dQ2AE8TX","970406",NGAN HANG DONGA BANK,16456500,,"704",,"00000001",,"05","5251IBT1dQ2AE8TX",,"000","00",,,1,,,,,,,,,,,
301070277,"0210",VND1625000210001,"912020","0908161720","003639","240306003639","970422",,"832942","00","97042205",,N,2025-09-08 23:17:23.000,,11232300,VND1625000210001,"231720","0908","0909","7299","704","0129837294",,2025-09-08 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5251IBT1dQ2AE8TR","970406",NGAN HANG DONGA BANK,11232300,,"704",,"00000001",,"05","5251IBT1dQ2AE8TR",,"000","00",,,1,,,,,,,,,,,
301070278,"0210",VND1625000210001,"912020","0908161721","003642","241483003642","970422",,"818172","00","97042205",,N,2025-09-08 23:17:25.000,,16456500,VND1625000210001,"231721","0908","0909","7299","704","0129837294",,2025-09-08 00:00:00.000,"MBBANK IBFT
Cat Linh Ba Dinh Ha Noi VN",IF_DEP,"5251IBT1dQ2AE8TN","970406",NGAN HANG DONGA BANK,16456500,,"704",,"00000001",,"05","5251IBT1dQ2AE8TN",,"000","00",,,1,,,,,,,,,,,
301070316,"0210","8600006868","912020","0908162502","392444","525116392444","970418",,"638389","00","00000990",,N,2025-09-08 23:25:03.000,,2000000,"8600006868","232502","0908","0909","7299","704","0129837294",,2025-09-08 00:00:00.000,"Title 1 8600006868 
",IF_DEP,"5251IBT1dQ2AE8F1","970406",Crypto payout d0a4ff85,2000000,,"704",,"00000001",,"05","5251IBT1dQ2AE8F1",,"010","00",,,1,,,,,,,,,,,
301070324,"0210","60175787","912020","0908162536","219880","525123219880","555666","980478","000238","00","10000000",,N,2025-09-08 23:25:37.000,,3300000,"60175787","232536","0908","0909",,"704","100000000003",,2025-09-08 00:00:00.000,"KBANK
hanoi",IF_DEP,"5251BIDCA22ZHGYM","668888",gd in phien T2 ngay 08sep 1,3300000,,"704",,"00000001",,"04","5251BIDCA22ZHGYM",,"000","00",,,1,,CONG TY TNHH MOT THANH VIEN ABC999 ,,,,,,,,,
301070326,"0210","0021019688003","912020","0908232537","025465","525120025465","970438","980478",,"68","00000001",,N,2025-09-08 23:25:38.000,,1090700,"0021019688003","232537","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGY8","555666",Tool ck daily 66,1090700,,"704",,"00000001",,"04","5251BVBVA22ZHGY8",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070352,"0210","8600006868","912020","0908163406","392445","525116392445","970418",,"015870","00","00000990",,N,2025-09-08 23:34:06.000,,2000000,"8600006868","233406","0908","0909","7299","704","0129837294",,2025-09-08 00:00:00.000,"Title 1 8600006868 
",IF_DEP,"5251IBT1dQ2AE8FI","970406",Crypto payout 7403f2e2,2000000,,"704",,"00000001",,"05","5251IBT1dQ2AE8FI",,"010","00",,,1,,,,,,,,,,,
301070354,"0210","60175787","912020","0908163410","926409","525123926409","555666","980478","000240","00","10000000",,N,2025-09-08 23:34:10.000,,3400000,"60175787","233410","0908","0909",,"704","100000000003",,2025-09-08 00:00:00.000,"KBANK
hanoi",IF_DEP,"5251BIDCA22ZHGYE","668888",gd in phien T2 08sep 2,3400000,,"704",,"00000001",,"04","5251BIDCA22ZHGYE",,"000","00",,,1,,CONG TY TNHH MOT THANH VIEN ABC999 ,,,,,,,,,
301070362,"0210","60175787","912020","0908163512","253674","525123253674","555666","980478","000242","00","10000000",,N,2025-09-08 23:35:13.000,,3500000,"60175787","233512","0908","0909",,"704","100000000003",,2025-09-08 00:00:00.000,"KBANK
hanoi",IF_DEP,"5251BIDCA22ZHGYK","668888",gd in phien T2 08sep 3,3500000,,"704",,"00000001",,"04","5251BIDCA22ZHGYK",,"000","00",,,1,,CONG TY TNHH MOT THANH VIEN ABC999 ,,,,,,,,,
301070368,"0210","0021019688003","912020","0908233538","025467","525120025467","970438","980478",,"68","00000001",,N,2025-09-08 23:35:39.000,,1039700,"0021019688003","233538","0908","0909",,"704","51218242",,2025-09-08 00:00:00.000,"KHACH HANG 1589834
",IF_DEP,"5251BVBVA22ZHGYS","555666",Tool ck daily 67,1039700,,"704",,"00000001",,"04","5251BVBVA22ZHGYS",,"012","05",,,1,,Nguyen Van Bao Viet,,,,,,,,,
301070370,"0210","60175787","912020","0908163554","534292","525123534292","555666","980478","000244","00","10000000",,N,2025-09-08 23:35:55.000,,3600000,"60175787","233554","0908","0909",,"704","100000000003",,2025-09-08 00:00:00.000,"KBANK
hanoi",IF_DEP,"5251BIDCA22ZHGYX","668888",gd in T2 08 sep 4,3600000,,"704",,"00000001",,"04","5251BIDCA22ZHGYX",,"000","00",,,1,,CONG TY TNHH MOT THANH VIEN ABC999 ,,,,,,,,,
