Tidb,,,,,,,,,,Oracle,,,,,,,,,Compare
PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,,PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,
9.70406E+15,10000,09-09-25 0:00,91730,492604,970406,10000001,970406,187,,9.70406E+15,10000,09-09-25 0:00,91730,492604,970406,10000001,970406,187,0
9.70406E+15,10000,09-09-25 0:00,92050,985352,970406,10000001,970406,188,,9.70406E+15,10000,09-09-25 0:00,92050,985352,970406,10000001,970406,188,0
1.07001E+15,10000,09-09-25 0:00,94528,707144,970412,13301002,970406,13399,,1.07001E+15,10000,09-09-25 0:00,94528,707144,970412,13301002,970406,13399,0
1229788221,10000,09-09-25 0:00,63143,3675,970422,97042205,970406,5112,,1229788221,10000,09-09-25 0:00,63143,3675,970422,97042205,970406,5112,0
1229788221,10000,09-09-25 0:00,105508,3742,970422,97042205,970406,5118,,1229788221,10000,09-09-25 0:00,105508,3742,970422,97042205,970406,5118,0
322495194,686868,09-09-25 0:00,837,3649,970422,97042205,970406,5107,,322495194,686868,09-09-25 0:00,837,3649,970422,97042205,970406,5107,0
825189748,66000,09-09-25 0:00,834,3647,970422,97042205,970406,5105,,825189748,66000,09-09-25 0:00,834,3647,970422,97042205,970406,5105,0
825189748,88000,09-09-25 0:00,834,3648,970422,97042205,970406,5106,,825189748,88000,09-09-25 0:00,834,3648,970422,97042205,970406,5106,0
2.58958E+12,200000,09-09-25 0:00,95148,3691,970422,97042205,970406,5114,,2.58958E+12,200000,09-09-25 0:00,95148,3691,970422,97042205,970406,5114,0
2.58958E+12,20000000,09-09-25 0:00,104329,3733,970422,97042205,970406,5117,,2.58958E+12,20000000,09-09-25 0:00,104329,3733,970422,97042205,970406,5117,0
2.6965E+12,200000,09-09-25 0:00,95838,3698,970422,97042205,970406,5116,,2.6965E+12,200000,09-09-25 0:00,95838,3698,970422,97042205,970406,5116,0
3.61355E+12,2222222,09-09-25 0:00,95358,3694,970422,97042299,970406,5115,,3.61355E+12,2222222,09-09-25 0:00,95358,3694,970422,97042299,970406,5115,0
VND1142600400001,10000,09-09-25 0:00,63145,3677,970422,97042205,970406,5113,,VND1142600400001,10000,09-09-25 0:00,63145,3677,970422,97042205,970406,5113,0
VND1142600400001,10000,09-09-25 0:00,105512,3744,970422,97042205,970406,5119,,VND1142600400001,10000,09-09-25 0:00,105512,3744,970422,97042205,970406,5119,0
VND1625000210001,112323,08-09-25 0:00,231720,3639,970422,97042205,970406,5101,,VND1625000210001,112323,08-09-25 0:00,231720,3639,970422,97042205,970406,5101,0
VND1625000210001,112323,08-09-25 0:00,231720,3640,970422,97042205,970406,5102,,VND1625000210001,112323,08-09-25 0:00,231720,3640,970422,97042205,970406,5102,0
VND1625000210001,112323,09-09-25 0:00,2444,3658,970422,97042205,970406,5108,,VND1625000210001,112323,09-09-25 0:00,2444,3658,970422,97042205,970406,5108,0
VND1625000210001,112323,09-09-25 0:00,2444,3661,970422,97042205,970406,5111,,VND1625000210001,112323,09-09-25 0:00,2444,3661,970422,97042205,970406,5111,0
VND1625000210001,164565,08-09-25 0:00,231720,3641,970422,97042205,970406,5103,,VND1625000210001,164565,08-09-25 0:00,231720,3641,970422,97042205,970406,5103,0
VND1625000210001,164565,08-09-25 0:00,231721,3642,970422,97042205,970406,5104,,VND1625000210001,164565,08-09-25 0:00,231721,3642,970422,97042205,970406,5104,0
VND1625000210001,164565,09-09-25 0:00,2444,3659,970422,97042205,970406,5109,,VND1625000210001,164565,09-09-25 0:00,2444,3659,970422,97042205,970406,5109,0
VND1625000210001,164565,09-09-25 0:00,2444,3660,970422,97042205,970406,5110,,VND1625000210001,164565,09-09-25 0:00,2444,3660,970422,97042205,970406,5110,0
1862800,500000,09-09-25 0:00,91352,215203,970433,12345678,970406,84,,1862800,500000,09-09-25 0:00,91352,215203,970433,12345678,970406,84,0
9.70442E+15,2300,09-09-25 0:00,94858,75793,970442,INB00001,970406,26,,9.70442E+15,2300,09-09-25 0:00,94858,75793,970442,INB00001,970406,26,0
1019946497,5000,09-09-25 0:00,104552,834565,970443,11111111,970406,11155,,1019946497,5000,09-09-25 0:00,104552,834565,970443,11111111,970406,11155,0
1019946497,5000,09-09-25 0:00,104600,887209,970443,11111111,970406,11157,,1019946497,5000,09-09-25 0:00,104600,887209,970443,11111111,970406,11157,0
1019946497,5000,09-09-25 0:00,104609,960123,970443,11111111,970406,11160,,1019946497,5000,09-09-25 0:00,104609,960123,970443,11111111,970406,11160,0
1019946497,5000,09-09-25 0:00,104751,603736,970443,11111111,970406,11178,,1019946497,5000,09-09-25 0:00,104751,603736,970443,11111111,970406,11178,0
1019946497,5000,09-09-25 0:00,104820,560328,970443,11111111,970406,11186,,1019946497,5000,09-09-25 0:00,104820,560328,970443,11111111,970406,11186,0
1019946497,6000,09-09-25 0:00,104601,258342,970443,11111111,970406,11158,,1019946497,6000,09-09-25 0:00,104601,258342,970443,11111111,970406,11158,0
1019946497,6000,09-09-25 0:00,104610,627580,970443,11111111,970406,11162,,1019946497,6000,09-09-25 0:00,104610,627580,970443,11111111,970406,11162,0
1019946497,7000,09-09-25 0:00,104610,166783,970443,11111111,970406,11161,,1019946497,7000,09-09-25 0:00,104610,166783,970443,11111111,970406,11161,0
